Tenor_Years,SOFR_Forward_Rate,FHLB_Forward_Rate,Forward_Spread_bps
0.0027397260273972603,0.04258411813670859,0.04430433960171124,17.202214650026484
0.08333333333333333,0.04078568494130954,0.04233386729318213,15.481823518725887
0.25,0.0379517254442743,0.04029337808174181,23.416526374675158
0.5,0.03398396119187903,0.03665820180358419,26.7424061170516
1.0,0.06542864529943158,0.07514640047536911,97.17755175937523
2.0,0.02933951053739456,0.035186401830044865,58.468912926503066
3.0,0.03243529509714915,0.03934919114258574,69.13896045436587
4.0,0.03499836692076538,0.0415126639234886,65.14297002723227
5.0,0.04875367483086741,0.06652833747199474,177.7466264112733
10.0,0.07007971189267806,0.13366486218198906,635.85150289311
20.0,0.049923625805416406,0.1241134338425787,741.898080371623
30.0,0.049923625805416406,0.1241134338425787,741.898080371623
