Parameter,Value,Value_Numeric,WAL_Mean,WAL_P05
Closure Rate (h),0.5%,0.005,5.97606070584601,4.354822365101056
Closure Rate (h),1.0%,0.01,4.406781220846625,3.521387397022357
Closure Rate (h),1.5%,0.015,3.4715008252519386,2.94138284996093
Rate Sensitivity (β_rate),20%,0.2,5.17694452938972,4.295057528581577
Rate Sensitivity (β_rate),30%,0.3,4.406781220846625,3.521387397022357
Rate Sensitivity (β_rate),40%,0.4,3.840613173254771,2.998248041691952
Rate Sensitivity (β_rate),50%,0.5,3.405224865689677,2.6190404664460805
Credit Sensitivity (β_credit),0%,0.0,4.7893258034749495,3.738796461772036
Credit Sensitivity (β_credit),15%,0.15,4.406781220846625,3.521387397022357
Credit Sensitivity (β_credit),30%,0.3,4.08500711951955,3.3284894654192647
Credit Sensitivity (β_credit),45%,0.45,3.809992427868245,3.1561754987039015
