MA_Window,Alpha,Mar22_Mean_WAL,Mar22_P05_WAL,Mar22_Tail_Risk,Sep25_Mean_WAL,Sep25_P05_WAL,Sep25_Tail_Risk,P05_Gap,Mean_Gap,Tail_Compression_Pct
12,0.5,5.719371582964144,4.601006320364921,1.118365262599223,4.431808067036273,3.773981832129055,0.6578262349072177,-0.8270244882358662,-1.2875635159278715,41.17966134084441
12,1.0,5.484688406185609,4.262784406624963,1.221903999560646,4.307199648785224,3.5987604992523115,0.708439149532913,-0.6640239073726515,-1.1774887574003845,42.021701394901484
12,1.5,5.269757013330081,3.9759301798218356,1.2938268335082457,4.194674828194855,3.446374320981243,0.748300507213612,-0.5295558588405926,-1.0750821851352264,42.163782058486504
12,2.0,5.072104240465343,3.7144304534127093,1.3576737870526339,4.092433792313416,3.308003519167907,0.7844302731455093,-0.40642693424480214,-0.9796704481519267,42.22247784216086
12,2.5,4.889669815462463,3.486505759272225,1.4031640561902385,3.9990315563642596,3.1871607769242956,0.811870779439964,-0.2993449823479293,-0.8906382590982038,42.13999597136973
24,0.5,5.553439205190468,4.329730090781543,1.2237091144089254,4.3902909478589836,3.698211588329997,0.6920793595289867,-0.631518502451546,-1.1631482573314846,43.44412807096937
24,1.0,5.1921512644467676,3.809561975189772,1.3825892892569955,4.238758111504697,3.475647211776723,0.7631108997279736,-0.3339147634130488,-0.9533931529420707,44.80566964770355
24,1.5,4.879739908195941,3.4108987508416058,1.4688411573543356,4.109221454574758,3.2934225093554055,0.8157989452193526,-0.11747624148620028,-0.7705184536211833,44.45968911377982
24,2.0,4.606629202668024,3.085695508327746,1.5209336943402776,3.996879919672414,3.147181734558616,0.8496981851137981,0.06148622623086997,-0.6097492829956095,44.13312110345714
24,2.5,4.3656676477362595,2.8215822592590047,1.5440853884772547,3.8982895965908892,3.020784932328402,0.8775046642624873,0.1992026730693972,-0.46737805114537023,43.16993925265595
36,0.5,5.497345103408577,4.192965691040951,1.3043794123676262,4.367108492385587,3.650692532824614,0.7164159595609734,-0.5422731582163367,-1.1302366110229896,45.07610647882115
36,1.0,5.105981305404405,3.6172929776582103,1.4886883277461944,4.2055674037140856,3.404410726908883,0.8011566768052027,-0.21288225074932754,-0.9004139016903192,46.183720133137804
36,1.5,4.779186040871272,3.1927070789651335,1.5864789619061384,4.073342345150622,3.2170837032582,0.8562586418924223,0.024376624293066307,-0.7058436957206498,46.027734218193714
36,2.0,4.5014535032650205,2.8698912029950447,1.6315623002699757,3.962541264133087,3.0696356290842384,0.8929056350488485,0.19974442608919363,-0.5389122391319336,45.27296721056261
36,2.5,4.262048225916793,2.614017754322233,1.6480304715945597,3.867977261120855,2.9530376227356436,0.9149396383852113,0.3390198684134105,-0.39407096479593795,44.482844573865364
